id,name_display,gif_url,body_part_raw,equipment_raw,target_raw,name_norm,body_part_group,equipment_group,target_group,movement_pattern,exercise_type,compound,unilateral,experience_min,skill_score,fatigue_score,time_per_set_sec,rest_time_sec,warmup_time_sec,default_sets_beginner,default_sets_intermediate,default_sets_advanced,default_reps_beginner,default_reps_intermediate,default_reps_advanced,estimated_total_time_beginner_sec
631,muscle up,https://v2.exercisedb.io/image/r0jNaTVA784jco,back,body weight,lats,muscle_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1401,muscle-up (on vertical bar),https://v2.exercisedb.io/image/Uqu86aZPS1dLMO,back,body weight,lats,muscle_up_on_vertical_bar,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
2328,narrow push-up on exercise ball,https://v2.exercisedb.io/image/ZIwYjVHVjxEGm9,upper arms,stability ball,triceps,narrow_push_up_on_exercise_ball,upper_arms,ball,upper_arms,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
1403,neck side stretch,https://v2.exercisedb.io/image/SYJVmmiYxfzdlI,neck,body weight,levator scapulae,neck_side_stretch,neck,bodyweight,back,general,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
634,negative crunch,https://v2.exercisedb.io/image/QPy-NkRoFHa5xW,waist,body weight,abs,negative_crunch,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
1495,oblique crunch v. 2,https://v2.exercisedb.io/image/y-bZd5-uYUaZF4,waist,body weight,abs,oblique_crunch_v_2,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
635,oblique crunches floor,https://v2.exercisedb.io/image/J0A70HwP7ox4Qq,waist,body weight,abs,oblique_crunches_floor,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
636,olympic barbell hammer curl,https://v2.exercisedb.io/image/Gwqy4RiyjBHqJe,upper arms,olympic barbell,biceps,olympic_barbell_hammer_curl,upper_arms,olympic barbell,upper_arms,upper_body,strength,FALSE,FALSE,intermediate,5,3,35,60,60,2,3,4,10-15,08-12,08-12,250
637,olympic barbell triceps extension,https://v2.exercisedb.io/image/hTzLGAq8T2RXL-,upper arms,olympic barbell,triceps,olympic_barbell_triceps_extension,upper_arms,olympic barbell,upper_arms,upper_body,strength,FALSE,FALSE,intermediate,5,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1355,one arm against wall,https://v2.exercisedb.io/image/0H1lFgo7n8hCrV,back,body weight,lats,one_arm_against_wall,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
